"Freq [GHz]","dB(St(p2,p1)) []"
4.31203120312031,-76.2212851798305
4.31263126312631,-76.2182030003009
4.31323132313231,-76.2151205250492
4.31383138313831,-76.2120377538796
4.31443144314431,-76.2089546865964
4.31503150315032,-76.2058713230039
4.31563156315632,-76.2027876629062
4.31623162316232,-76.1997037061073
4.31683168316832,-76.1966194524114
4.31743174317432,-76.1935349016221
4.31803180318032,-76.1904500535434
4.31863186318632,-76.1873649079792
4.31923192319232,-76.1842794647329
4.31983198319832,-76.1811937236083
4.32043204320432,-76.178107684409
4.32103210321032,-76.1750213469383
4.32163216321632,-76.1719347109997
4.32223222322232,-76.1688477763965
4.32283228322832,-76.165760542932
4.32343234323432,-76.1626730104093
4.32403240324032,-76.1595851786316
4.32463246324632,-76.1564970474018
4.32523252325232,-76.1534086165229
4.32583258325833,-76.1503198857977
4.32643264326433,-76.1472308550292
4.32703270327033,-76.14414152402
4.32763276327633,-76.1410518925728
4.32823282328233,-76.1379619604902
4.32883288328833,-76.1348717275746
4.32943294329433,-76.1317811936285
4.33003300330033,-76.1286903584542
4.33063306330633,-76.1255992218541
4.33123312331233,-76.1225077836303
4.33183318331833,-76.1194160435849
4.33243324332433,-76.11632400152
4.33303330333033,-76.1132316572376
4.33363336333633,-76.1101390105396
4.33423342334233,-76.1070460612278
4.33483348334834,-76.1039528091039
4.33543354335434,-76.1008592539697
4.33603360336034,-76.0977653956267
4.33663366336634,-76.0946712338765
4.33723372337234,-76.0915767685204
4.33783378337834,-76.0884819993599
4.33843384338434,-76.0853869261963
4.33903390339034,-76.0822915488308
4.33963396339634,-76.0791958670645
4.34023402340234,-76.0760998806984
4.34083408340834,-76.0730035895336
4.34143414341434,-76.069906993371
4.34203420342034,-76.0668100920115
4.34263426342634,-76.0637128852556
4.34323432343234,-76.0606153729042
4.34383438343834,-76.0575175547579
4.34443444344434,-76.0544194306172
4.34503450345035,-76.0513210002824
4.34563456345635,-76.048222263554
4.34623462346235,-76.0451232202324
4.34683468346835,-76.0420238701176
4.34743474347435,-76.0389242130099
4.34803480348035,-76.0358242487093
4.34863486348635,-76.0327239770157
4.34923492349235,-76.0296233977292
4.34983498349835,-76.0265225106495
4.35043504350435,-76.0234213155763
4.35103510351035,-76.0203198123094
4.35163516351635,-76.0172180006482
4.35223522352235,-76.0141158803924
4.35283528352835,-76.0110134513414
4.35343534353435,-76.0079107132945
4.35403540354035,-76.004807666051
4.35463546354635,-76.0017043094102
4.35523552355235,-75.998600643171
4.35583558355836,-75.9954966671326
4.35643564356436,-75.9923923810939
4.35703570357036,-75.9892877848539
4.35763576357636,-75.9861828782112
4.35823582358236,-75.9830776609648
4.35883588358836,-75.9799721329131
4.35943594359436,-75.9768662938547
4.36003600360036,-75.9737601435883
4.36063606360636,-75.970653681912
4.36123612361236,-75.9675469086243
4.36183618361836,-75.9644398235235
4.36243624362436,-75.9613324264076
4.36303630363036,-75.9582247170749
4.36363636363636,-75.9551166953232
4.36423642364236,-75.9520083609505
4.36483648364837,-75.9488997137547
4.36543654365437,-75.9457907535335
4.36603660366037,-75.9426814800847
4.36663666366637,-75.9395718932058
4.36723672367237,-75.9364619926943
4.36783678367837,-75.9333517783477
4.36843684368437,-75.9302412499634
4.36903690369037,-75.9271304073387
4.36963696369637,-75.9240192502706
4.37023702370237,-75.9209077785565
4.37083708370837,-75.9177959919933
4.37143714371437,-75.9146838903779
4.37203720372037,-75.9115714735073
4.37263726372637,-75.9084587411782
4.37323732373237,-75.9053456931873
4.37383738373837,-75.9022323293314
4.37443744374437,-75.8991186494069
4.37503750375037,-75.8960046532103
4.37563756375638,-75.892890340538
4.37623762376238,-75.8897757111863
4.37683768376838,-75.8866607649515
4.37743774377438,-75.8835455016296
4.37803780378038,-75.8804299210167
4.37863786378638,-75.8773140229089
4.37923792379238,-75.874197807102
4.37983798379838,-75.8710812733918
4.38043804380438,-75.867964421574
4.38103810381038,-75.8648472514443
4.38163816381638,-75.8617297627983
4.38223822382238,-75.8586119554314
4.38283828382838,-75.855493829139
4.38343834383438,-75.8523753837165
4.38403840384038,-75.8492566189591
4.38463846384639,-75.8461375346619
4.38523852385239,-75.84301813062
4.38583858385839,-75.8398984066284
4.38643864386439,-75.836778362482
4.38703870387039,-75.8336579979755
4.38763876387639,-75.8305373129038
4.38823882388239,-75.8274163070615
4.38883888388839,-75.8242949802431
4.38943894389439,-75.8211733322431
4.39003900390039,-75.8180513628559
4.39063906390639,-75.8149290718758
4.39123912391239,-75.8118064590971
4.39183918391839,-75.8086835243139
4.39243924392439,-75.8055602673202
4.39303930393039,-75.8024366879101
4.39363936393639,-75.7993127858773
4.39423942394239,-75.7961885610158
4.39483948394839,-75.7930640131192
4.39543954395439,-75.7899391419812
4.3960396039604,-75.7868139473952
4.3966396639664,-75.7836884291549
4.3972397239724,-75.7805625870535
4.3978397839784,-75.7774364208844
4.3984398439844,-75.7743099304408
4.3990399039904,-75.7711831155157
4.3996399639964,-75.7680559759022
4.4002400240024,-75.7649285113934
4.4008400840084,-75.7618007217819
4.4014401440144,-75.7586726068607
4.4020402040204,-75.7555441664224
4.4026402640264,-75.7524154002596
4.4032403240324,-75.7492863081648
4.4038403840384,-75.7461568899306
4.4044404440444,-75.7430271453491
4.40504050405041,-75.7398970742127
4.40564056405641,-75.7367666763136
4.40624062406241,-75.7336359514438
4.40684068406841,-75.7305048993954
4.40744074407441,-75.7273735199603
4.40804080408041,-75.7242418129302
4.40864086408641,-75.721109778097
4.40924092409241,-75.7179774152523
4.40984098409841,-75.7148447241877
4.41044104410441,-75.7117117046945
4.41104110411041,-75.7085783565644
4.41164116411641,-75.7054446795884
4.41224122412241,-75.7023106735579
4.41284128412841,-75.699176338264
4.41344134413441,-75.6960416734977
4.41404140414041,-75.69290667905
4.41464146414642,-75.6897713547117
4.41524152415242,-75.6866357002736
4.41584158415842,-75.6834997155265
4.41644164416442,-75.6803634002608
4.41704170417042,-75.6772267542672
4.41764176417642,-75.6740897773361
4.41824182418242,-75.6709524692577
4.41884188418842,-75.6678148298223
4.41944194419442,-75.6646768588202
4.42004200420042,-75.6615385560413
4.42064206420642,-75.6583999212756
4.42124212421242,-75.6552609543131
4.42184218421842,-75.6521216549435
4.42244224422442,-75.6489820229565
4.42304230423042,-75.6458420581418
4.42364236423642,-75.6427017602889
4.42424242424242,-75.6395611291873
4.42484248424842,-75.6364201646262
4.42544254425442,-75.633278866395
4.42604260426043,-75.6301372342828
4.42664266426643,-75.6269952680787
4.42724272427243,-75.6238529675718
4.42784278427843,-75.6207103325509
4.42844284428443,-75.6175673628049
4.42904290429043,-75.6144240581224
4.42964296429643,-75.6112804182921
4.43024302430243,-75.6081364431025
4.43084308430843,-75.6049921323421
4.43144314431443,-75.6018474857993
4.43204320432043,-75.5987025032623
4.43264326432643,-75.5955571845193
4.43324332433243,-75.5924115293584
4.43384338433843,-75.5892655375676
4.43444344434443,-75.5861192089348
4.43504350435044,-75.5829725432477
4.43564356435644,-75.5798255402942
4.43624362436244,-75.5766781998619
4.43684368436844,-75.5735305217383
4.43744374437444,-75.5703825057108
4.43804380438044,-75.5672341515668
4.43864386438644,-75.5640854590936
4.43924392439244,-75.5609364280784
4.43984398439844,-75.5577870583082
4.44044404440444,-75.55463734957
4.44104410441044,-75.5514873016507
4.44164416441644,-75.5483369143371
4.44224422442244,-75.545186187416
4.44284428442844,-75.5420351206739
4.44344434443444,-75.5388837138973
4.44404440444044,-75.5357319668728
4.44464446444644,-75.5325798793866
4.44524452445244,-75.529427451225
4.44584458445845,-75.5262746821741
4.44644464446445,-75.52312157202
4.44704470447045,-75.5199681205487
4.44764476447645,-75.516814327546
4.44824482448245,-75.5136601927977
4.44884488448845,-75.5105057160896
4.44944494449445,-75.5073508972071
4.45004500450045,-75.5041957359359
4.45064506450645,-75.5010402320612
4.45124512451245,-75.4978843853684
4.45184518451845,-75.4947281956428
4.45244524452445,-75.4915716626694
4.45304530453045,-75.4884147862332
4.45364536453645,-75.4852575661193
4.45424542454245,-75.4821000021124
4.45484548454846,-75.4789420939973
4.45544554455446,-75.4757838415586
4.45604560456046,-75.4726252445809
4.45664566456646,-75.4694663028487
4.45724572457246,-75.4663070161462
4.45784578457846,-75.4631473842579
4.45844584458446,-75.4599874069677
4.45904590459046,-75.4568270840599
4.45964596459646,-75.4536664153185
4.46024602460246,-75.4505054005271
4.46084608460846,-75.4473440394698
4.46144614461446,-75.4441823319302
4.46204620462046,-75.4410202776918
4.46264626462646,-75.4378578765382
4.46324632463246,-75.4346951282528
4.46384638463846,-75.4315320326189
4.46444644464446,-75.4283685894197
4.46504650465046,-75.4252047984383
4.46564656465647,-75.4220406594577
4.46624662466247,-75.418876172261
4.46684668466847,-75.4157113366308
4.46744674467447,-75.4125461523499
4.46804680468047,-75.409380619201
4.46864686468647,-75.4062147369666
4.46924692469247,-75.4030485054292
4.46984698469847,-75.399881924371
4.47044704470447,-75.3967149935743
4.47104710471047,-75.3935477128212
4.47164716471647,-75.390380081894
4.47224722472247,-75.3872121005743
4.47284728472847,-75.3840437686442
4.47344734473447,-75.3808750858853
4.47404740474047,-75.3777060520794
4.47464746474647,-75.3745366670079
4.47524752475248,-75.3713669304524
4.47584758475848,-75.3681968421942
4.47644764476448,-75.3650264020146
4.47704770477048,-75.3618556096947
4.47764776477648,-75.3586844650156
4.47824782478248,-75.3555129677583
4.47884788478848,-75.3523411177036
4.47944794479448,-75.3491689146324
4.48004800480048,-75.3459963583252
4.48064806480648,-75.3428234485627
4.48124812481248,-75.3396501851253
4.48184818481848,-75.3364765677934
4.48244824482448,-75.3333025963473
4.48304830483048,-75.3301282705671
4.48364836483648,-75.3269535902329
4.48424842484248,-75.3237785551247
4.48484848484849,-75.3206031650223
4.48544854485449,-75.3174274197057
4.48604860486049,-75.3142513189543
4.48664866486649,-75.3110748625478
4.48724872487249,-75.3078980502656
4.48784878487849,-75.3047208818872
4.48844884488449,-75.3015433571918
4.48904890489049,-75.2983654759585
4.48964896489649,-75.2951872379665
4.49024902490249,-75.2920086429947
4.49084908490849,-75.288829690822
4.49144914491449,-75.2856503812271
4.49204920492049,-75.2824707139887
