        Frequency / GHz                S2,1/abs,linear
               3.0696139                       0.9747938
               3.0724145                      0.97462625
                3.075215                      0.97445706
               3.0780156                      0.97428623
               3.0808162                      0.97411374
               3.0836167                      0.97393956
               3.0864173                      0.97376369
               3.0892178                      0.97358609
               3.0920184                      0.97340677
                3.094819                      0.97322569
               3.0976195                      0.97304284
               3.1004201                      0.97285819
               3.1032206                      0.97267173
               3.1060212                      0.97248344
               3.1088218                       0.9722933
               3.1116223                      0.97210129
               3.1144229                      0.97190738
               3.1172234                      0.97171155
                3.120024                      0.97151379
               3.1228246                      0.97131407
               3.1256251                      0.97111237
               3.1284257                      0.97090866
               3.1312262                      0.97070292
               3.1340268                      0.97049513
               3.1368274                      0.97028527
               3.1396279                      0.97007331
               3.1424285                      0.96985922
                3.145229                      0.96964298
               3.1480296                      0.96942457
               3.1508302                      0.96920396
               3.1536307                      0.96898112
               3.1564313                      0.96875603
               3.1592318                      0.96852865
               3.1620324                      0.96829897
                3.164833                      0.96806696
               3.1676335                      0.96783258
               3.1704341                      0.96759581
               3.1732346                      0.96735662
               3.1760352                      0.96711499
               3.1788358                      0.96687087
               3.1816363                      0.96662424
               3.1844369                      0.96637507
               3.1872374                      0.96612333
                3.190038                      0.96586899
               3.1928386                      0.96561202
               3.1956391                      0.96535237
               3.1984397                      0.96509003
               3.2012402                      0.96482496
               3.2040408                      0.96455712
