        Frequency / GHz                S2,1/abs,dB
               3.8116232                      -7.9923209
                   3.817                      -8.0332718
               3.8196393                       -8.053785
                   3.826                      -8.1044088
               3.8276553                      -8.1178467
                   3.835                      -8.1787707
               3.8356713                      -8.1844448
               3.8436874                      -8.2535393
                   3.844                      -8.2562843
               3.8517034                       -8.325367
                   3.853                      -8.3372945
               3.8597194                      -8.3995096
                   3.862                      -8.4209382
               3.8677355                      -8.4757404
                   3.871                      -8.5074933
               3.8757515                       -8.554464
                    3.88                      -8.5976442
               3.8837675                      -8.6361776
                   3.889                      -8.6903305
               3.8917836                      -8.7195498
                   3.898                      -8.7857403
               3.8997996                      -8.8050938
                   3.907                       -8.883573
               3.9078156                      -8.8925674
               3.9158317                      -8.9817839
                   3.916                      -8.9836675
               3.9238477                      -9.0737556
                   3.925                      -9.0869169
               3.9318637                        -9.16638
                   3.934                      -9.1913794
                   3.943                      -9.2978376
                   3.952                      -9.4058838
                   3.961                      -9.5151981
                    3.97                      -9.6254389
                   3.979                      -9.7362309
                   3.988                      -9.8471624
                   3.997                       -9.957783
                   4.006                      -10.067604
                   4.015                      -10.176099
                   4.024                      -10.282704
                   4.033                       -10.38682
                   4.042                       -10.48782
                   4.051                      -10.585049
                    4.06                      -10.677834
                   4.069                      -10.765489
                   4.078                      -10.847328
                   4.087                      -10.922671
                   4.096                       -10.99086
                   4.105                      -11.051266
                   4.114                      -11.103308
                   4.123                      -11.146462
                   4.132                      -11.180271
                   4.141                      -11.204362
                    4.15                      -11.218451
                   4.159                      -11.222349
                   4.168                      -11.215971
                   4.177                      -11.199333
                   4.186                      -11.172552
                   4.195                      -11.135843
                   4.204                      -11.089513
                   4.213                      -11.033948
                   4.222                      -10.969606
                   4.231                      -10.897004
                    4.24                      -10.816705
                   4.249                      -10.729308
                   4.258                      -10.635438
                   4.267                      -10.535763
                   4.276                      -10.431052
                   4.285                      -10.321586
                   4.294                       -10.20796
                     4.3                      -10.130303
                   4.303                      -10.090963
               4.3102041                      -9.9952299
                   4.312                      -9.9711035
               4.3204082                      -9.8572694
                   4.321                      -9.8491697
                    4.33                      -9.7251693
               4.3306122                      -9.7166814
                   4.339                      -9.5998315
               4.3408163                      -9.5744014
                   4.348                      -9.4736395
               4.3510204                      -9.4311113
                   4.357                       -9.346807
               4.3612245                      -9.2871931
                   4.366                      -9.2197947
               4.3714286                      -9.1432006
                   4.375                       -9.092894
               4.3816327                      -8.9996409
                   4.384                      -8.9664275
               4.3918367                      -8.8568579
                   4.393                      -8.8406529
                   4.402                      -8.7158841
               4.4020408                      -8.7153208
                   4.411                      -8.5922357
               4.4122449                      -8.5752192
                    4.42                      -8.4699233
                4.422449                      -8.4369107
                   4.429                      -8.3491918
               4.4326531                        -8.30067
                   4.438                      -8.2301369
               4.4428571                      -8.1666897
                   4.447                      -8.1130129
               4.4530612                      -8.0352479
                   4.456                      -7.9978833
               4.4632653                      -7.9065412
                   4.465                      -7.8849554
               4.4734694                      -7.7808472
                   4.474                      -7.7743976
                   4.483                      -7.6663559
               4.4836735                      -7.6583646
                   4.492                       -7.561034
               4.4938776                      -7.5394391
                   4.501                      -7.4587319
               4.5040816                      -7.4244331
                    4.51                      -7.3596655
               4.5142857                      -7.3137485
                   4.519                      -7.2642747
               4.5244898                      -7.2081915
                   4.528                      -7.1731449
               4.5346939                      -7.1085368
                   4.537                      -7.0869942
                4.544898                      -7.0164114
                   4.546                       -7.006999
                   4.555                      -6.9349691
                4.555102                       -6.934208
                   4.564                      -6.8738817
               4.5653061                       -6.866196
                   4.573                      -6.8290649
               4.5755102                      -6.8206833
                   4.582                      -6.8110477
               4.5857143                      -6.8161345
                   4.591                      -6.8435907
               4.5959184                      -6.9027244
                     4.6                      -6.9936576
               4.6061224                      -7.2761062
                   4.609                      -7.5356753
               4.6163265                      -9.5057279
                   4.618                      -10.477033
               4.6265306                      -5.2192442
                   4.627                      -5.1700709
                   4.636                      -5.2142548
               4.6367347                      -5.2280366
                   4.645                      -5.3298277
               4.6469388                      -5.3421989
                   4.654                      -5.3637885
               4.6571429                      -5.3647381
                   4.663                      -5.3569135
               4.6673469                      -5.3452474
                   4.672                      -5.3287599
                4.677551                      -5.3050333
                   4.681                      -5.2885694
               4.6877551                      -5.2533618
                    4.69                      -5.2409498
               4.6979592                      -5.1959315
                   4.699                      -5.1897725
                   4.708                      -5.1354496
               4.7081633                      -5.1344463
                   4.717                      -5.0795184
               4.7183673                       -5.070934
                   4.726                      -5.0227238
               4.7285714                      -5.0063969
                   4.735                       -4.965477
               4.7387755                       -4.941417
                   4.744                      -4.9081405
               4.7489796                      -4.8764826
                   4.753                      -4.8508692
               4.7591837                      -4.8119296
                   4.762                      -4.7942098
               4.7693878                      -4.7479664
                   4.771                      -4.7379239
               4.7795918                      -4.6847276
                    4.78                      -4.6822145
                   4.789                      -4.6271469
               4.7897959                      -4.6223101
                   4.798                      -4.5726952
                     4.8                      -4.5607875
                   4.807                      -4.5191685
                   4.816                      -4.4663539
                   4.825                      -4.4143496
                   4.834                      -4.3631668
                   4.843                      -4.3128106
                   4.852                      -4.2632827
                   4.861                      -4.2145818
                    4.87                       -4.166705
                   4.879                      -4.1196471
                   4.888                      -4.0734021
                   4.897                      -4.0279624
                   4.906                      -3.9833198
                   4.915                      -3.9394652
                   4.924                       -3.896389
